source,target,ate_global,cate_crypto,cate_general,cate_loop_bench,cate_multimedia,cate_numeric,cate_pointer_data,cate_string_parse,cate_systems,cate_cluster_0,cate_cluster_1,cate_cluster_2,cate_cluster_3,cate_cluster_4,cate_cluster_5
elim-avail-extern,simplifycfg,0.0088778263779599,0.0081922532514273,0.0112251239962358,0.0122670856259968,0.0093655257069988,0.0081184191300631,0.0043667622510365,0.0110796786798145,0.0074477859523455,0.0095935589006024,0.0118993968686388,0.0067188938503704,0.0089230079605778,0.0068757048376282,0.0023593058669859
elim-avail-extern,dse,0.0088475966969706,0.0114459512201747,0.008775111955294,0.0052479014053399,0.0081190199559596,0.0137796593684919,0.0082495195846717,0.0077379821715261,0.0067214867699657,0.0111559904039119,0.0066587092928805,0.0102619193709627,0.0109672117825634,0.0068083119832869,0.0106192281638869
elim-avail-extern,jump-threading,0.0059991864542958,0.0084083100809218,0.007804682524157,0.0019694228169254,0.0046244112595147,0.0039698953570618,0.0075239615224614,0.0072304974402299,0.0063755624497308,0.0073697138047277,0.0063276266531881,0.0075991725065879,0.0045794940040378,0.0057084426946797,-0.0012180693253592
loop-unroll,elim-avail-extern,0.0081339021398451,0.0170300866050107,0.0174057885783555,0.0005694800856804,0.0151185581784412,0.0089309716220006,0.0050664253052551,0.0063086038664786,0.0011970768386032,0.0116814181073131,0.0030983337182178,0.0169103084880853,0.006765480059665,0.0094745477807577,-0.0017299526363308
loop-vectorize,elim-avail-extern,0.0154486505334035,0.0094212640787944,0.0366094336264251,0.0470740800004005,0.0091976034634724,0.0374156933508419,0.0037531876504379,0.0024994477776859,0.0006059557798165,0.0320594009386864,0.0134111181810745,0.0005028304164305,0.0074858746443339,0.0020116009327929,0.0053037475294582
break-crit-edges,elim-avail-extern,0.0065544001689618,0.0065435560999642,0.0089854976303785,-1.191400839650747e-05,0.0054283893767408,0.0050532143245636,0.0087592628862502,0.0093303301550223,0.0065378341625525,0.0081815930220738,0.0095580672478736,0.0035346913152221,-0.0001937580374838,0.0048393218935574,-0.000604423461445
mergefunc,instcombine,0.0120419398489717,0.014589382829203,0.017158043367828,0.0109525040352566,0.013240782088482,0.0150522172609772,0.0097483895939282,0.0105397809510353,0.0084005326801727,0.0145393878528699,0.0110181972691492,0.0140993778058855,0.0122356571696202,0.0099237003667398,0.0083703965958036
mergefunc,simplifycfg,0.0071293021510016,0.0071927337363962,0.0084199022631926,0.0093597049251594,0.0095427960617845,0.0067834551650499,0.0068476342603887,0.0075564766574451,0.0054953864183636,0.0110914411770485,0.0082749373537076,0.0025435812037472,0.0049975108747985,0.0042666465000803,-0.0022091498149158
mergefunc,dse,0.0082050203831015,0.0077818807635872,0.0131713020606971,0.0050218712940636,0.0067445048614074,0.0114697020966554,0.0077675412980479,0.0088707436374681,0.0063905776220128,0.0119161076105455,0.0068176774840605,0.0044529603948215,0.010646673968395,0.0072966416179469,-0.0003665822577746
mergefunc,jump-threading,0.0059500792100173,0.0030497672155682,0.0077011344766598,0.0038882289267373,0.0053336833136664,0.0054830014364946,0.003489025287385,0.008510757887008,0.0068347315594357,0.0064273896369306,0.0095291778398639,0.0007428212730265,0.0043402927118799,0.0039996981060521,2.961743290502694e-05
loop-unroll,mergefunc,0.0069266092434049,0.0120639518446855,0.016581604713251,-0.0010909348701248,0.0131779059409148,0.009114830585955,0.003811724810237,0.0024307827229424,0.0019760909874358,0.010033351362288,0.0019138446066563,0.0114696732441298,0.0090297356477664,0.0081236783798613,-0.0008352303968303
loop-vectorize,mergefunc,0.0155993170763164,0.0068596605685743,0.0333851292506885,0.0503687746676661,0.0067495119355802,0.0413490183033082,0.0032817163960333,0.0034510281955792,0.0007280533174638,0.0307518002561615,0.0143505731899077,-0.0006899391391424,0.0086602632727289,0.0033504227243698,0.0088988612488107
break-crit-edges,mergefunc,0.0068864240233777,0.0051744087870483,0.0073925394986714,0.0031626830622288,0.005865225084973,0.0044901776868224,0.0065775030219781,0.0093886797037237,0.0087671646565132,0.006260764052101,0.0107460399721439,-0.0003528395994531,0.0037382270297579,0.0064476422147057,-0.0015471590881715
