source,target,ate,p_adj
loop-rotate,instcombine,0.00966270018688753,4.100005824597242e-80
partial-inliner,instcombine,0.01127656605202737,1.702839156332767e-116
lower-expect,instcombine,0.011496759195823159,9.208096575392506e-122
alignment-from-assumptions,instcombine,0.01169858975925514,2.524578511479697e-125
rpo-function-attrs,instcombine,0.011377796768672899,4.0328478275455415e-118
attributor,instcombine,0.010551262518250948,9.124852729221649e-114
inferattrs,instcombine,0.01297056045448669,7.495113426776526e-155
called-value-propagation,instcombine,0.01187023365697204,1.329433153403917e-128
licm,instcombine,0.01751594733007622,6.3972171737702665e-255
loop-simplify,instcombine,0.01105508262830357,7.895682346327697e-112
div-rem-pairs,instcombine,0.011940016250578611,2.889169867623373e-130
float2int,instcombine,0.011077111083765134,1.5916875427152246e-112
inline,instcombine,0.011382247795921674,1.2013561979944804e-118
sink,instcombine,0.012071392227199496,5.946223572675042e-132
loop-vectorize,instcombine,0.032565118944506755,0.0
slp-vectorizer,instcombine,0.010453075885924312,7.564460735077443e-101
callsite-splitting,instcombine,0.012366339069076915,7.119478974557356e-140
dfa-jump-threading,instcombine,0.010888188913120489,1.9318490437542306e-108
consthoist,instcombine,0.011703892605143595,2.599836496798379e-125
mldst-motion,instcombine,0.011617801234719949,7.578533730232145e-124
slsr,instcombine,0.01092386758031233,1.3898240775840956e-109
loop-interchange,instcombine,0.012234654329794203,1.8572979819683543e-136
loop-fusion,instcombine,0.0110308949752696,9.749618824295105e-112
loop-distribute,instcombine,0.0108225249044403,1.430934395022889e-106
loop-load-elim,instcombine,0.011410169237327239,4.306798640704523e-119
loop-sink,instcombine,0.012277037897417076,4.3147611349470254e-138
loop-unroll-and-jam,instcombine,0.011722713975158061,8.600693696471292e-125
hotcoldsplit,instcombine,0.012114702982379988,8.700225080087341e-135
irce,instcombine,0.012239433553506873,3.4284826388910052e-136
nary-reassociate,instcombine,0.011215410750889665,9.967726955144986e-115
scalarizer,instcombine,0.013461003342649214,3.0867880133068875e-160
vector-combine,instcombine,0.011437884381494623,8.891963341747803e-121
always-inline,instcombine,0.011605925300397002,4.2727598963870184e-122
globalsplit,instcombine,0.010442672472296022,6.022518674237903e-100
lowerswitch,instcombine,0.01218436448803173,1.657797455792079e-126
early-cse-memssa,instcombine,0.0243521559861703,0.0
simple-loop-unswitch,instcombine,0.012802094669831676,2.8925143185864207e-149
loop-versioning,instcombine,0.01498517795870874,1.533823408280119e-193
loop-flatten,instcombine,0.013225108527493257,2.05311092714751e-159
loop-reroll,instcombine,0.012227286639188373,1.1849938567285418e-136
loop-instsimplify,instcombine,0.012098637531845369,8.365042990893069e-135
loop-simplifycfg,instcombine,0.012981733005926643,1.4811750266808782e-154
loop-predication,instcombine,0.012223995375495622,1.0468768976146142e-137
speculative-execution,instcombine,0.01130862724109899,1.660721611320947e-117
partially-inline-libcalls,instcombine,0.011808229315412255,8.144158732095055e-129
load-store-vectorizer,instcombine,0.011374434660639143,1.290127843366319e-119
iroutliner,instcombine,0.008276284033227055,2.0764875485466808e-64
global-merge,instcombine,0.011440716910180282,1.532861855964576e-119
break-crit-edges,instcombine,0.018397940405307622,2.6079585322099223e-294
unreachableblockelim,instcombine,0.011612540989609454,9.570845597845068e-122
tailcallelim,simplifycfg,0.008549188748022463,9.853866051087331e-57
reassociate,simplifycfg,0.0071565171975842,1.2444874872334481e-39
memcpyopt,simplifycfg,0.006640562000882033,4.318556472162589e-34
sccp,simplifycfg,0.006485017978579921,6.876431571775966e-33
dce,simplifycfg,0.006703448186347494,3.6265762711230175e-35
adce,simplifycfg,0.006185283891243787,5.1472616557781484e-30
loop-idiom,simplifycfg,0.008140632527793179,1.3030255238024213e-50
loop-deletion,simplifycfg,0.009084961921624446,1.537958973094836e-62
gvn,simplifycfg,0.008677618680859811,5.010905702176628e-74
gvn-hoist,simplifycfg,0.006962963870782324,3.9979618239090913e-38
gvn-sink,simplifycfg,0.010680063123670147,4.8483855714970664e-89
newgvn,simplifycfg,0.01045779164818883,2.107474888473619e-114
early-cse,simplifycfg,0.005686389373391332,8.142504936065026e-29
mergereturn,simplifycfg,0.007235089067904599,3.1362245947582717e-40
globalopt,simplifycfg,0.0077030049008273704,9.397747096049697e-46
strip-dead-prototypes,simplifycfg,0.008640954434262105,1.957331676747909e-57
indvars,simplifycfg,0.007565697700685936,1.1422419011176854e-44
mergeicmps,simplifycfg,0.0072353736852859285,1.5938894892962821e-40
separate-const-offset-from-gep,simplifycfg,0.008479151097650628,3.475904040368683e-55
libcalls-shrinkwrap,simplifycfg,0.007695849816039768,1.0266792510976363e-45
flattencfg,simplifycfg,0.0074685011292137116,2.7933310513551897e-43
loop-reduce,simplifycfg,0.011365665739243136,1.0527360650313404e-99
loop-unroll,simplifycfg,0.01817282512233165,2.3108312977274068e-235
loop-rotate,simplifycfg,0.012103860730716731,5.708045173992549e-103
partial-inliner,simplifycfg,0.0076890446763390186,7.800800518530253e-46
lower-expect,simplifycfg,0.00843360452944475,5.873239029391089e-55
alignment-from-assumptions,simplifycfg,0.007503864175339048,1.3374702599823137e-43
rpo-function-attrs,simplifycfg,0.0075042149804299685,1.5905557249119217e-43
inferattrs,simplifycfg,0.008654850051792451,1.8754483687756833e-57
called-value-propagation,simplifycfg,0.007682911958989125,3.0515591916284427e-45
licm,simplifycfg,0.009859244720206994,8.689962990457201e-66
loop-simplify,simplifycfg,0.00815698576233187,3.4439855875341185e-51
div-rem-pairs,simplifycfg,0.00787409784308113,1.1926989861813578e-47
float2int,simplifycfg,0.006794079421329036,5.86004591890447e-36
inline,simplifycfg,0.008290889934050583,3.1740820820556733e-53
sink,simplifycfg,0.007644729608483447,2.7588347478278395e-45
loop-vectorize,simplifycfg,0.02623599756868622,0.0
slp-vectorizer,simplifycfg,0.006386290375065662,4.826164328167011e-32
callsite-splitting,simplifycfg,0.007357552358719266,1.0633538664767127e-41
dfa-jump-threading,simplifycfg,0.007386997427615616,5.30287789213748e-42
consthoist,simplifycfg,0.00832990770180636,2.364731911336718e-53
mldst-motion,simplifycfg,0.009149817054514897,2.872012448418514e-64
slsr,simplifycfg,0.006515906825184159,3.165844779079633e-33
loop-interchange,simplifycfg,0.00920683098498859,1.4192418212362288e-64
loop-fusion,simplifycfg,0.007282614389027164,6.885469991210896e-41
loop-distribute,simplifycfg,0.007328026563556578,1.780455952614582e-41
loop-load-elim,simplifycfg,0.008186287433227413,3.090172791286464e-51
loop-sink,simplifycfg,0.008511618364286155,8.940621408259946e-56
loop-unroll-and-jam,simplifycfg,0.008894629454575365,1.6796396746174417e-60
hotcoldsplit,simplifycfg,0.008332384247381697,1.4895627309132392e-53
irce,simplifycfg,0.008861477512971061,5.200458776458283e-60
nary-reassociate,simplifycfg,0.006806978226018223,7.208318753588694e-36
scalarizer,simplifycfg,0.008836166553309044,1.9372930093717082e-58
vector-combine,simplifycfg,0.007957719883638581,7.2336736869878e-49
always-inline,simplifycfg,0.007402543170320186,2.080902924409763e-42
globalsplit,simplifycfg,0.007315358078262668,7.554357952275309e-42
lowerswitch,simplifycfg,0.010499067298238574,4.5141866999668376e-80
early-cse-memssa,simplifycfg,0.01131568222079432,3.850734226708612e-133
simple-loop-unswitch,simplifycfg,0.008820197803274255,1.3408235317911204e-59
loop-versioning,simplifycfg,0.010500151153649606,8.123156215323401e-80
loop-flatten,simplifycfg,0.008956479029308073,4.417205150520991e-61
loop-reroll,simplifycfg,0.007593329057992704,2.0557193854441725e-44
loop-instsimplify,simplifycfg,0.008331852779766447,9.475183785016579e-54
loop-simplifycfg,simplifycfg,0.008134182753657182,6.470771154108414e-51
loop-predication,simplifycfg,0.00836158814758331,8.139918982508772e-54
speculative-execution,simplifycfg,0.00728366146074394,6.985656917822145e-41
