source,target,ate_global,cate_crypto,cate_general,cate_loop_bench,cate_multimedia,cate_numeric,cate_pointer_data,cate_string_parse,cate_systems,cate_cluster_0,cate_cluster_1,cate_cluster_2,cate_cluster_3,cate_cluster_4,cate_cluster_5
newgvn,dse,0.0238039401583913,0.0275487012605175,0.0164390507890255,0.0067264481557797,0.0218072122174623,0.0308389122473106,0.0245852431291839,0.0163425452364019,0.03203732406953,0.0293930678215131,0.0168183528121411,0.0133254012175034,0.0325330754087281,0.0241261114207846,0.0245945334304964
licm,dse,0.0179435121624828,0.0137415575011926,0.0252789535008521,0.0058545167729972,0.0219055654668834,0.0198221266115368,0.0080894226889861,0.0334472756981059,0.0099925246345354,0.0299394569992454,0.0191485347542543,0.000147163464066,0.0045948612778612,0.0109372141724334,0.0039172361404696
early-cse-memssa,dse,0.0212916618419781,0.019138750461292,0.0163096832957093,-0.0040781242900339,0.0180835659841159,0.0349975099886658,0.0248848179077045,0.0263584578217637,0.0213446666153639,0.0304011456107264,0.0114568820469158,0.0169534272474365,0.0214758830046258,0.021809757639765,0.0254785074281924
break-crit-edges,jump-threading,0.025540000670261,0.0220411082230992,0.0261925677620892,-0.0008155180484075,0.0303970907059694,0.0167452466287574,0.0125957206540888,0.0392696634079065,0.0344152530499016,0.0176095324437239,0.0405103892867621,0.0127320429234902,0.0279980522747035,0.0263427036584347,0.0054088424059755
loop-interchange,loop-deletion,0.0072743169995836,0.020084472042255,-0.0006571326262355,0.0011677094395051,0.0066520888349031,0.0185144801263593,-0.0049787956832007,0.0049654790109519,0.006070258199217,0.006982798426001,0.0053204009329848,0.0379370762199329,0.0019543016950208,0.0081493464883146,5.2630951865917375e-05
loop-reduce,gvn,0.0105304440587196,0.0105182783442697,0.0189332424230735,0.0170466936390476,0.0128261863771584,0.0166126570639936,0.005675152154236,0.0006166517682619,0.0063404006347237,0.0194365574054443,0.0053051181070908,0.0065807001025516,0.0122528727993935,0.0079989049217871,-0.0113700384591813
loop-unroll,gvn,0.0208256439305606,0.0407782501565102,0.0373445366411355,-0.0017654418341059,0.0418660564070338,0.045093154346851,0.0057780118578648,0.0024789094947504,0.0033494413675362,0.0377761279885359,0.0055529795728022,0.0400622815595047,0.0088784661524169,0.0203176989304899,-0.0058389019226032
gvn,attributor,0.0391099689327647,0.0394032441053717,0.0522521967718187,0.0173749308894758,0.0301200535111214,0.0513204561892429,0.0416318044127249,0.0353594230743333,0.0399759018173287,0.050396725876711,0.0330501051739124,0.0335631614453387,0.0422865024130044,0.0324887414325779,0.0273922027810714
licm,gvn,0.0200244466682386,0.0156038052221855,0.0190386475543274,-0.0020165278747993,0.0167384032535649,0.0391768898730437,0.0141445301835171,0.0277387047926895,0.0133098508117536,0.0358394004790076,0.0137987779645799,0.0189384077337032,0.0114027388016681,0.014196235846172,-0.0010186690405288
loop-vectorize,gvn,0.0292208558220624,0.020336403218734,0.0727951544613626,0.0929259398055064,0.0103223615473503,0.052126289581419,0.0019991327477194,0.0133583169065873,0.0107704347642896,0.0505931431014612,0.0315467398256111,0.0257413115275228,0.0248812276282889,0.0051403562917499,0.0202727801769799
early-cse-memssa,gvn,0.0105590158192136,0.0229915116897128,0.0157834691728601,0.0061892542330267,0.0122469030639597,0.0178811921663629,0.0041256621935895,0.0068470773518784,0.0024590028781273,0.0145057081510937,0.0072086404550432,0.0132044475248706,0.0134892614465224,0.0114869476017569,-0.0058832379524421
newgvn,attributor,0.0126190297576471,0.0169499269573936,0.0106035087685791,0.0016067796109426,0.0150611920670515,0.0148284663694709,0.0116488230701411,0.0123470240024121,0.0100982682455645,0.014381611342749,0.0099074360409198,0.0114976456521866,0.0028766105211844,0.0146035967870999,0.0258233974136907
licm,newgvn,0.013544397962936,0.0157995745054907,0.0115073141862351,0.0167939691193255,0.0139694783638139,0.0284430063008458,0.0031300475015055,0.0061234889819624,0.0087702287107894,0.0218927357693343,0.0115338173343558,0.0258468711273168,0.0187313735578119,0.0042037540849536,0.0156689563778177
loop-vectorize,newgvn,0.0105788372758964,-0.0021300229573837,0.0142875235263857,0.0340360971989781,0.0041178939433036,0.0275113280554073,0.0034496358479182,0.0064059352707636,0.0038109248698146,0.0178230988045265,0.0102686170142267,-0.0126166761911198,0.0173479453659745,0.0037833915456459,0.0069529028100369
licm,early-cse,0.0080357709959746,0.0079883017412711,-0.0042292949855807,0.0054399438338521,0.0021994620797567,0.0235214374203441,0.0017970629321908,0.00979087037261,0.0059683427790657,0.0074834634642045,0.0100107139402912,-0.0094312518732069,0.0223520615902139,0.0067327932435616,0.0131443928065838
loop-reduce,licm,0.0082910026648329,-0.0005538102539437,0.0231570438571195,0.0093145820619025,0.0136769828900086,0.0169432004251799,0.0060612450836976,0.0108002857030162,-0.0022424010956773,0.0099177930972044,0.0097899416975276,0.036798247179111,0.0171438064833762,0.000399408632673,0.0019830565438975
loop-versioning,loop-rotate,0.0113914011202281,-0.005096195847369,0.0188854212463434,0.0210228980859718,0.012741031165701,0.0361522969532146,0.0112944017488991,0.0047282823056369,-0.0013109532811416,0.0234107025142192,0.0055985204683666,0.0060134590948975,-0.0050429866736745,0.0068665523649325,0.0070508866776808
break-crit-edges,loop-rotate,0.0087519752602475,0.0129094344206053,0.023913394839261,0.0087907604330398,0.0108495501498885,0.0079816241281263,0.0119957946701723,0.009583935520605,-0.0008646453950991,0.0185331686019216,0.0072319824969735,-0.0025862142474547,0.0053767979549396,0.0049671692697432,-0.0193394695304055
early-cse-memssa,attributor,0.0133264924111221,0.0166998728716032,0.0125270942106398,0.0072961241058928,0.012970312814912,0.0098715558096046,0.0157064650084087,0.0147712257320088,0.0146733578656972,0.0160758493365182,0.0154505906615322,0.0068779671254494,0.0066923487902855,0.0116950824602234,0.0052815941685538
loop-vectorize,licm,0.041553030507902,0.0233528228401236,0.0884831784544007,0.1000462788860274,0.0344879955085942,0.0911022721436649,0.0127255037669387,0.0147198678470235,0.0123359663504597,0.0853841106628313,0.0346467574152718,0.0276354236222644,0.0270645152233322,0.0061015042754425,0.0095442213499488
licm,early-cse-memssa,0.0153115206320995,0.0112814754636596,0.0027303293719833,0.0095218899032073,0.0191685092735541,0.0260000521237082,0.0202192618800418,0.0160657841341243,0.0091949623823811,0.0179765802531653,0.0145016612299371,0.003512464369843,0.0172353470615476,0.0134699079864216,0.0126116679156981
licm,simple-loop-unswitch,0.008892832353487,0.0119792876729309,0.0095460042929965,0.0190980946445492,0.0025839731680527,0.0156166152104533,-0.004310747832743,0.0065671110813222,0.0060974585670321,0.0115928902170798,0.0111418159070945,0.0039664855876282,0.0376097437296275,0.0014619122283229,-0.0023437071747097
loop-versioning,loop-vectorize,0.0115878189281823,-0.0081050896170298,0.0506286093789975,0.0307667207347402,0.0062298944717278,0.0218436826269959,-0.0021586166905802,0.0020770523967874,0.0034192929891223,0.0274960418691735,0.0126729056930854,-0.0075961754938148,0.0022342974467472,0.0013898498788046,-0.0158667710248629
loop-reroll,loop-vectorize,0.009381929343887,0.0105110910746361,0.0127833529767948,0.0028763749491994,0.0157645315340721,0.0122290162467341,0.0075982902356273,0.002524346397801,0.0083857317900918,0.0088642223507567,0.0094247854135487,0.0038071061011261,-0.0073322253242645,0.0149303058884714,0.0032797052254714
